update,episodes,total_steps,ep_mean,ep_min,ep_max,avg50,best_avg50,mean_kills,max_kills,avg50_kills,best_avg50_kills,policy_loss,value_loss,rel_value_loss_pct,entropy,secs_rollout,secs_update
206,26828,54026664,593.36,63.38,1124.52,606.69,687.95,34.25,40.0,34.56,35.6,0.0063,33.92024,0.982,0.96212,446.4,132.0
207,26937,54288808,577.42,13.08,1104.34,583.53,687.95,33.42,40.0,33.32,35.6,0.00608,32.20069,0.983,0.96992,444.8,131.8
208,27046,54550952,600.53,-193.11,1114.15,608.76,687.95,34.55,40.0,34.34,35.6,0.00562,34.54983,0.979,0.96726,442.2,131.9
209,27151,54813096,675.05,92.07,1105.64,651.89,687.95,35.26,40.0,34.96,35.6,0.00514,29.79277,0.809,0.96255,446.7,132.2
210,27257,55075240,673.16,-210.52,1108.97,668.09,687.95,35.37,40.0,35.72,35.72,0.00642,35.05146,0.879,0.96589,442.5,132.0
211,27369,55337384,604.56,29.19,1112.53,616.12,687.95,34.23,40.0,34.6,35.72,0.00541,33.06843,0.951,0.95785,447.3,131.9
212,27483,55599528,598.46,65.58,1103.53,638.71,687.95,33.92,40.0,34.66,35.72,0.00663,34.61252,0.983,0.96558,449.9,131.7
213,27585,55861672,627.34,37.12,1100.36,591.0,687.95,34.95,40.0,34.6,35.72,0.00609,32.87285,0.914,0.96353,444.4,132.1
214,27697,56123816,581.46,16.5,1113.7,636.97,687.95,33.54,40.0,34.78,35.72,0.00784,35.40213,1.023,0.96998,447.2,132.0
215,27813,56385960,543.38,-108.66,1097.81,561.72,687.95,33.03,40.0,33.88,35.72,0.0066,32.52094,1.049,0.97265,447.2,132.5
216,27926,56648104,526.57,-76.91,1085.37,526.4,687.95,33.02,40.0,32.84,35.72,0.00448,31.82071,1.071,0.97364,444.6,132.5
217,28041,56910248,496.02,16.04,1109.2,463.71,687.95,32.33,40.0,31.38,35.72,0.00771,33.69874,1.17,0.97493,445.5,132.0
218,28157,57172392,552.75,-117.95,1110.77,577.09,687.95,32.85,40.0,33.14,35.72,0.0062,33.09265,1.041,0.9665,446.6,132.4
219,28278,57434536,496.93,-115.24,1092.96,483.92,687.95,32.15,40.0,31.98,35.72,0.00704,31.64116,1.132,0.97651,447.1,132.0
220,28394,57696680,565.73,-70.42,1106.92,602.25,687.95,33.2,40.0,34.22,35.72,0.00608,34.72812,1.042,0.96863,449.4,132.2
221,28508,57958824,555.69,-100.59,1124.87,593.25,687.95,33.1,40.0,34.0,35.72,0.00583,32.87409,1.032,0.97266,446.7,131.7
222,28624,58220968,536.32,-48.24,1097.86,492.95,687.95,32.8,40.0,32.04,35.72,0.00605,31.52253,1.047,0.96237,449.0,132.2
223,28740,58483112,548.26,-39.2,1100.53,565.81,687.95,32.89,40.0,33.18,35.72,0.00755,35.99491,1.094,0.96617,447.3,132.1
224,28861,58745256,488.69,10.64,1115.41,493.53,687.95,32.07,40.0,31.96,35.72,0.0056,34.37785,1.2,0.96428,449.1,133.6
225,28979,59007400,510.27,-34.77,1112.49,515.57,687.95,31.9,40.0,32.22,35.72,0.00534,30.57837,1.084,0.96246,388.7,135.6
226,29089,59269544,556.79,4.23,1111.22,501.8,687.95,33.35,40.0,32.56,35.72,0.00612,33.93541,1.046,0.95855,391.6,134.9
227,29207,59531688,554.57,-2.75,1120.22,567.39,687.95,32.67,40.0,33.04,35.72,0.00653,35.93477,1.081,0.95835,392.7,135.2
228,29321,59793832,569.43,-36.2,1115.63,595.61,687.95,33.35,40.0,33.5,35.72,0.00705,33.66902,1.019,0.96888,392.1,135.0
229,29434,60055976,538.05,-6.17,1114.78,548.81,687.95,33.11,40.0,32.8,35.72,0.00603,34.60504,1.093,0.95557,391.2,135.1
230,29549,60318120,531.13,-92.38,1099.81,525.24,687.95,32.96,40.0,33.18,35.72,0.00652,36.6449,1.14,0.95942,389.2,135.3
231,29652,60580264,610.97,134.11,1110.29,664.25,687.95,34.5,40.0,35.5,35.72,0.00592,35.27581,0.972,0.95864,388.9,135.6
232,29763,60842408,593.67,36.43,1106.82,561.83,687.95,33.88,40.0,33.7,35.72,0.00595,31.3965,0.944,0.97155,392.2,135.2
233,29869,61104552,612.44,44.83,1115.68,626.34,687.95,34.02,40.0,34.06,35.72,0.00627,33.50268,0.945,0.95806,390.7,135.3
234,29981,61366696,594.17,88.47,1114.46,530.53,687.95,33.8,40.0,32.88,35.72,0.00659,35.56832,1.004,0.95314,391.7,135.5
235,30092,61628840,575.77,-29.86,1100.19,574.42,687.95,33.88,40.0,33.92,35.72,0.00794,37.47193,1.063,0.96285,389.3,135.7
236,30214,61890984,490.13,35.38,1111.13,498.89,687.95,31.23,40.0,31.18,35.72,0.00773,36.69018,1.236,0.96588,395.9,135.8
237,30331,62153128,522.35,1.51,1117.22,553.81,687.95,32.63,40.0,33.08,35.72,0.00698,34.49642,1.124,0.96825,393.8,135.8
238,30449,62415272,556.96,66.68,1098.56,538.12,687.95,33.02,40.0,32.86,35.72,0.00816,33.30545,1.036,0.96588,389.5,136.1
239,30562,62677416,558.19,56.95,1093.64,539.66,687.95,32.94,40.0,32.94,35.72,0.00579,31.11113,0.999,0.96839,390.9,135.6
240,30674,62939560,561.5,24.32,1098.38,559.75,687.95,32.99,40.0,32.8,35.72,0.00734,36.58124,1.077,0.96229,393.1,135.7
241,30785,63201704,545.43,43.03,1114.4,568.21,687.95,33.47,40.0,33.92,35.72,0.00872,37.05436,1.116,0.96205,391.0,135.8
242,30896,63463848,554.04,-43.59,1101.43,552.7,687.95,33.12,40.0,32.82,35.72,0.00941,36.66848,1.093,0.96214,390.8,135.6
243,31008,63725992,535.27,109.11,1113.0,528.29,687.95,33.37,40.0,33.6,35.72,0.00646,36.20439,1.124,0.96176,392.7,135.6
244,31118,63988136,511.97,-50.14,1100.19,582.88,687.95,32.88,40.0,34.28,35.72,0.00766,35.47564,1.163,0.96463,393.5,135.9
245,31228,64250280,516.17,61.48,1106.24,516.62,687.95,32.48,40.0,32.58,35.72,0.00626,33.4578,1.121,0.9658,389.5,135.5
246,31343,64512424,481.19,2.27,1107.64,507.23,687.95,32.16,40.0,32.98,35.72,0.00693,35.05939,1.231,0.96442,393.9,135.4
247,31450,64774568,553.17,-15.76,1097.89,543.33,687.95,32.88,40.0,32.94,35.72,0.00737,30.71671,1.002,0.97091,388.0,135.5
248,31560,65036712,513.9,59.23,1097.25,553.05,687.95,32.63,40.0,33.56,35.72,0.00733,35.66957,1.162,0.9651,391.6,135.4
249,31674,65298856,511.42,-3.78,1120.65,486.86,687.95,32.43,40.0,31.94,35.72,0.00497,34.07324,1.141,0.96712,393.6,135.2
250,31785,65561000,536.97,-0.41,1108.73,561.48,687.95,33.34,40.0,33.66,35.72,0.00632,32.24695,1.058,0.96948,388.1,135.4
251,31901,65823144,461.2,-76.97,1113.17,458.85,687.95,31.47,40.0,31.42,35.72,0.00656,34.26064,1.269,0.97602,394.4,135.5
252,32014,66085288,463.13,-6.13,1103.08,435.23,687.95,31.9,40.0,31.7,35.72,0.00579,37.94525,1.33,0.97873,393.6,135.1
253,32124,66347432,518.05,-27.85,1102.82,510.23,687.95,32.77,40.0,33.0,35.72,0.0069,33.0189,1.109,0.97376,394.3,135.0
254,32235,66609576,497.35,24.66,1116.22,472.09,687.95,32.4,40.0,32.16,35.72,0.0066,36.10178,1.208,0.98027,394.4,135.0
255,32343,66871720,549.24,-143.68,1111.75,523.08,687.95,32.99,40.0,32.52,35.72,0.00654,36.90085,1.106,0.96995,394.2,135.0
256,32459,67133864,538.83,-5.49,1109.75,548.71,687.95,32.54,40.0,32.56,35.72,0.00498,34.9797,1.098,0.97654,389.5,135.4
257,32570,67396008,592.81,-84.89,1100.93,655.38,687.95,33.92,40.0,34.9,35.72,0.00613,37.50436,1.033,0.97556,392.3,135.1
258,32682,67658152,609.67,30.69,1084.99,571.94,687.95,34.34,40.0,33.58,35.72,0.00576,35.53395,0.978,0.97549,390.2,135.3
259,32785,67920296,627.74,48.62,1097.52,653.37,687.95,35.05,40.0,35.3,35.72,0.00717,36.95842,0.968,0.97885,396.7,138.8
260,32901,68182440,559.68,46.6,1097.44,578.82,687.95,32.85,40.0,33.46,35.72,0.00653,34.66144,1.052,0.97832,466.6,138.6
261,33012,68444584,594.18,113.43,1102.88,663.55,687.95,34.12,40.0,35.06,35.72,0.00713,36.84524,1.022,0.97403,470.3,136.5
262,33124,68706728,590.31,102.42,1106.91,555.92,687.95,33.96,40.0,33.52,35.72,0.00599,34.92941,1.001,0.97185,460.0,137.6
263,33262,69028872,548.22,102.25,1108.7,606.01,687.95,33.24,40.0,34.62,35.72,0.00753,36.12117,1.096,0.97609,478.2,226.6
264,33366,69291016,609.69,53.04,1088.6,602.41,687.95,34.28,40.0,34.5,35.72,0.00435,36.50468,0.991,0.98167,469.9,233.0
265,33475,69553160,585.62,51.86,1098.56,633.75,687.95,33.72,40.0,34.84,35.72,0.0057,34.04556,0.996,0.9804,496.9,244.1
266,33585,69815304,602.74,50.77,1109.77,580.66,687.95,34.56,40.0,34.34,35.72,0.00703,35.0833,0.983,0.97629,493.5,236.6
267,33694,70077448,602.94,-109.3,1097.77,649.65,687.95,34.38,40.0,35.02,35.72,0.00576,33.62841,0.962,0.97768,482.1,226.8
268,33800,70339592,608.93,-17.52,1106.32,577.79,687.95,34.08,40.0,33.62,35.72,0.00578,30.12656,0.901,0.97285,494.5,230.3
269,33910,70601736,618.56,17.03,1105.71,624.83,687.95,34.05,40.0,34.06,35.72,0.00793,31.79973,0.912,0.97202,483.2,228.1
270,34022,70863880,567.28,-49.28,1101.7,564.84,687.95,34.06,40.0,33.8,35.72,0.00679,35.95429,1.057,0.96847,480.4,228.0
271,34127,71126024,594.97,-73.27,1089.0,580.02,687.95,34.18,40.0,34.14,35.72,0.00567,32.89892,0.964,0.973,478.6,251.8
272,34235,71388168,627.82,5.12,1109.32,612.35,687.95,34.54,40.0,34.88,35.72,0.00802,34.18773,0.931,0.97232,480.3,242.8
273,34446,71880312,626.44,10.37,1101.82,600.96,687.95,34.25,40.0,34.02,35.72,0.00662,33.11431,0.919,0.96601,440.8,243.9
274,34557,72142456,559.95,-33.81,1121.81,571.79,687.95,33.1,40.0,33.3,35.72,0.00649,34.13186,1.043,0.97185,448.9,241.1
275,34671,72404600,556.82,-96.64,1111.69,585.2,687.95,33.12,40.0,33.46,35.72,0.0057,31.53199,1.008,0.96934,453.2,240.5
276,34776,72666744,628.91,-77.79,1108.91,632.65,687.95,34.34,40.0,34.24,35.72,0.00714,29.73274,0.867,0.96917,452.9,239.4
277,35008,73201032,564.93,17.9,1109.78,545.87,687.95,33.35,40.0,32.92,35.72,0.00497,32.15291,1.004,0.97684,827.8,477.7
278,35226,73725320,627.85,-115.47,1108.87,607.57,687.95,34.6,40.0,34.26,35.72,0.00473,34.28601,0.933,0.9656,836.5,422.2
279,35441,74249608,652.28,67.23,1115.48,682.47,687.95,34.85,40.0,34.56,35.72,0.00507,34.45537,0.9,0.97268,817.4,423.2
280,36006,75648184,663.83,29.24,1122.65,749.3,687.95,34.9,40.0,36.22,36.22,0.00363,35.1455,0.893,0.96786,1803.3,956.7
281,36424,76696760,713.69,63.13,1121.56,761.13,749.3,35.52,40.0,36.38,36.38,0.00415,36.96014,0.852,0.96185,1873.2,940.9
282,36847,77745336,730.75,9.29,1132.68,717.3,761.13,35.87,40.0,35.4,36.38,0.0039,39.03197,0.855,0.95889,1892.5,890.9
283,37262,78793912,767.75,17.97,1132.12,747.88,761.13,36.27,40.0,36.02,36.38,0.00304,37.09179,0.793,0.95504,1747.5,890.3
284,37688,79842488,728.08,-11.69,1126.35,781.63,761.13,35.94,40.0,36.68,36.68,0.00371,38.59642,0.853,0.95516,1753.1,950.9
285,38118,80891064,728.54,2.05,1125.84,698.86,781.63,35.82,40.0,35.64,36.68,0.00381,36.86816,0.833,0.95052,1745.3,879.6
286,38544,81939640,766.34,6.32,1133.42,768.41,781.63,36.36,40.0,36.16,36.68,0.0042,36.49042,0.788,0.9525,1744.2,875.9
287,38969,82988216,782.93,55.19,1128.74,781.98,781.63,36.59,40.0,36.5,36.68,0.00351,38.48178,0.792,0.94858,1747.3,877.6
288,39394,84036792,831.46,-7.91,1128.16,802.32,781.98,37.12,40.0,36.96,36.96,0.00364,38.21727,0.744,0.94109,1747.2,879.8
289,39810,85085368,862.82,32.69,1134.04,915.87,802.32,37.7,40.0,38.28,38.28,0.00502,36.48168,0.7,0.93208,1808.5,883.2
290,40229,86133944,840.67,-76.99,1122.6,906.26,915.87,37.21,40.0,38.12,38.28,0.00425,36.76382,0.721,0.92309,1800.0,890.0
291,40652,87182520,837.71,-50.79,1134.3,846.72,915.87,37.13,40.0,37.68,38.28,0.00377,39.63029,0.751,0.92245,1811.3,887.3
292,41252,88676096,872.57,20.7,1130.73,860.99,915.87,37.77,40.0,37.66,38.28,0.00433,38.42141,0.71,0.91085,1893.4,904.2
293,41684,89724672,899.67,56.95,1128.08,922.55,915.87,38.06,40.0,38.58,38.58,0.00477,41.35509,0.715,0.904,1838.6,892.0
294,42121,90773248,902.94,60.42,1128.87,872.38,922.55,37.91,40.0,37.36,38.58,0.00456,41.38376,0.712,0.90541,1861.6,896.6
295,42555,91821824,896.36,18.94,1133.47,913.22,922.55,38.0,40.0,38.06,38.58,0.00511,39.72411,0.703,0.90624,1845.0,887.4
296,42996,92870400,893.39,2.11,1134.33,905.04,922.55,37.78,40.0,37.64,38.58,0.00517,39.86554,0.707,0.89947,1821.6,900.1
297,43443,93918976,889.09,19.82,1133.31,918.23,922.55,37.64,40.0,38.14,38.58,0.00457,38.32026,0.696,0.89345,1879.2,884.8
298,43888,94967552,896.5,11.89,1138.74,891.27,922.55,37.79,40.0,37.82,38.58,0.00514,39.74904,0.703,0.89546,1816.6,901.8
299,44340,96016128,858.72,93.34,1128.93,912.41,922.55,37.31,40.0,37.98,38.58,0.0042,38.92414,0.727,0.90043,1775.2,902.1
300,44786,97064704,863.34,45.04,1126.11,893.83,922.55,37.43,40.0,37.9,38.58,0.00453,38.98009,0.723,0.89247,1763.2,905.2
301,45236,98113280,867.68,16.0,1129.1,834.26,922.55,37.35,40.0,36.56,38.58,0.00487,39.82562,0.727,0.89072,1833.8,907.6
